dataset,model,avg_auc_std,avg_auc_mean,avg_auc_max,avg_auc_min,avg_auc_range,avg_acc_mean,avg_acc_std,avg_acc_max,avg_acc_min,avg_acc_range,total_students,n_successful_folds,success_rate
algebra2005,akt,0.06797262906547874,0.797011657514927,0.9685714285714286,0.438,0.5305714285714286,0.8046874429788865,0.06438965310926892,0.9395779051589368,0.5786753786753787,0.36090252648355825,570,5,1.0
algebra2005,atkt,0.05759058919960754,0.7984283051888865,0.9828571428571429,0.597013805522209,0.385843337334934,0.8020808479859571,0.06508682560878838,0.9473684210526315,0.6015818099346137,0.3457866111180178,570,5,1.0
algebra2005,atktfix,0.05711401791938574,0.7677202618075804,0.9317460317460317,0.525,0.4067460317460318,0.7928870337759055,0.0701067914776193,0.9473684210526315,0.5664080636043252,0.3809603574483062,570,5,1.0
algebra2005,bakt,0.06829839751071012,0.7935810055734135,0.9657142857142859,0.4746666666666666,0.4910476190476191,0.8056527778890448,0.06129174427545905,0.9473684210526315,0.5878378378378379,0.3595305832147937,570,5,1.0
algebra2005,dkt,0.05883189098709211,0.7820496953324062,0.9685714285714286,0.5479863945578232,0.4205850340136054,0.8016114771244686,0.0656716275173014,0.9285876561908367,0.5572840363728215,0.3713036198180153,570,5,1.0
algebra2005,dkt_forget,0.06199639982813916,0.7811255236709317,0.9685714285714286,0.5516666666666667,0.41690476190476194,0.8018682683421801,0.06750326108130836,0.9461300309597522,0.5571261682242991,0.3890038627354532,570,5,1.0
algebra2005,dkvmn,0.06576831455432948,0.7713310494775347,0.9914285714285714,0.5724231264231265,0.41900544500544507,0.7978730026932473,0.06525575878870626,0.9497160166603559,0.5879807692307693,0.3617352474295866,570,5,1.0
algebra2005,gkt,0.06372726481961832,0.7750609734841536,0.9660317460317461,0.5597444977991197,0.4062872482326263,0.8016228552509854,0.06471916392908045,0.9406285497917455,0.5846740097908322,0.35595454000091326,570,5,1.0
algebra2005,hawkes,0.06073720986870519,0.7952331489810562,0.9444444444444444,0.5476666666666666,0.39677777777777773,0.8020072002908043,0.07095958639926972,0.9372329338196976,0.5185185185185186,0.41871441530117914,570,5,1.0
algebra2005,kqn,0.06227194661721397,0.7692620976189758,0.9742857142857144,0.5399298245614035,0.43435588972431083,0.7941815083797208,0.07083068539209861,0.9473684210526315,0.5511100386100386,0.396258382442593,570,5,1.0
algebra2005,saint,0.06685356335382009,0.7456351176241929,0.8881946169772258,0.4959187675070028,0.39227584947022287,0.7765143127332976,0.07151767815973673,0.9277543859649123,0.5421868296868297,0.38556755627808253,570,5,1.0
algebra2005,sakt,0.06965911072563777,0.7543078248213132,0.9428571428571428,0.4250068027210884,0.5178503401360545,0.792801866203907,0.06499285758845241,0.9473684210526315,0.5741071428571429,0.3732612781954887,570,5,1.0
algebra2005,skvmn,0.07121092075996435,0.6174151172740993,0.9166666666666667,0.37386807023105095,0.5427985964356157,0.7616070442770215,0.08880011701308857,0.9473684210526315,0.45257352941176465,0.4947948916408668,570,5,1.0
assist2009,akt,0.2097358216474139,0.6610229546143559,1.0,0.0,1.0,0.7174230267192632,0.13339822979366844,1.0,0.0,1.0,3340,5,1.0
assist2009,atkt,0.19795052581829048,0.64682945265223,1.0,0.0,1.0,0.7147796941586464,0.1315435254678113,1.0,0.0,1.0,3340,5,1.0
assist2009,atktfix,0.20973297061143667,0.5818536376327974,1.0,0.0,1.0,0.6978080000037036,0.14149096798175825,1.0,0.0,1.0,3340,5,1.0
assist2009,dkt,0.2103798218359605,0.6058191924765135,1.0,0.0,1.0,0.7041310977033749,0.1371746590597897,1.0,0.0,1.0,3340,5,1.0
assist2009,dkvmn,0.21709267299692447,0.5915632050208475,1.0,0.0,1.0,0.6995573909053358,0.13711209060777801,1.0,0.0,1.0,3340,5,1.0
assist2009,gkt,0.2113676595541396,0.5997429382744974,1.0,0.0,1.0,0.6929793295260082,0.1419698634090113,1.0,0.0,1.0,3340,5,1.0
assist2009,hawkes,0.20424734615899193,0.6351877948445206,1.0,0.0,1.0,0.6832797831752465,0.15570463900509968,1.0,0.0,1.0,3340,5,1.0
assist2009,kqn,0.2160546724523491,0.575582718876487,1.0,0.0,1.0,0.7014999212341209,0.14182517454451227,1.0,0.0,1.0,3340,5,1.0
assist2009,saint,0.2071135986823592,0.5140374659834381,1.0,0.0,1.0,0.6736133568975152,0.1479882299120729,0.9909356725146198,0.0,0.9909356725146198,3340,5,1.0
assist2009,sakt,0.21098902936918124,0.5582939666922172,1.0,0.0,1.0,0.6856088361429166,0.14116426956054556,0.9859649122807017,0.0,0.9859649122807017,3340,5,1.0
assist2009,skvmn,0.21020283314529195,0.567088537219356,1.0,0.0,1.0,0.6943994403010203,0.14212364127855798,1.0,0.0,1.0,3340,5,1.0
bridge2algebra2006,akt,0.06803522599854264,0.7988604794995593,0.9147049284733777,0.0,0.9147049284733777,0.8521166000923209,0.055148531689651524,0.9593063583815029,0.5,0.4593063583815029,1130,5,1.0
bridge2algebra2006,atkt,0.05601047470214134,0.8053518430928912,0.9478333227034987,0.24015625,0.7076770727034989,0.8535095643511541,0.059701094871810814,0.9573770491803278,0.5,0.45737704918032784,1130,5,1.0
bridge2algebra2006,atktfix,0.07047701477595973,0.7641498743904451,0.8852459016393442,0.0,0.8852459016393442,0.8442602055250381,0.07445911943567618,0.9549132947976879,0.16666666666666666,0.7882466281310213,678,3,0.6
bridge2algebra2006,dkt,0.06860134475095256,0.7754121033113269,0.9022664180683516,0.0,0.9022664180683516,0.8479657158974288,0.06637404124666904,0.9546416500837044,0.3333333333333333,0.6213083167503711,678,3,0.6
bridge2algebra2006,dkt_forget,0.0589704054416554,0.7733145130556249,0.9440192743764173,0.25078124999999996,0.6932380243764173,0.8476273280444361,0.05975171686859965,0.9545058277267128,0.5,0.4545058277267128,452,2,0.4
bridge2algebra2006,dkvmn,0.07098880585555571,0.7703737473505772,0.9105253212396068,0.0,0.9105253212396068,0.8467364964602752,0.07824772230631273,0.9558482579993051,0.0,0.9558482579993051,678,3,0.6
bridge2algebra2006,gkt,0.07227606370628378,0.7757679655849545,0.9265873015873015,0.0,0.9265873015873015,0.8493736347950667,0.05895997180166001,0.9549436795994993,0.5,0.45494367959949933,226,1,0.2
bridge2algebra2006,hawkes,0.0680173784951769,0.7879248432867804,0.9008109255015723,0.0,0.9008109255015723,0.8475255911221885,0.07926989309936021,0.9522157996146435,0.0,0.9522157996146435,678,3,0.6
bridge2algebra2006,kqn,0.07339548906552458,0.7679949789462543,0.9305555555555556,0.0,0.9305555555555556,0.8451032579243154,0.08160934995609571,0.9572254335260115,0.0,0.9572254335260115,226,1,0.2
